date,country,sector,mtco2_per_day
2024-01-18,Brazil,Industry,0.551411
2024-01-18,Brazil,International Aviation,0.0199022
2024-01-18,Brazil,Power,0.0878142
2024-01-18,Brazil,Residential,0.0
2024-01-19,Brazil,Domestic Aviation,0.0258938
2024-01-19,Brazil,Ground Transport,0.607129
2024-01-19,Brazil,Industry,0.580535
2024-01-19,Brazil,International Aviation,0.0205497
2024-01-19,Brazil,Power,0.0924524
2024-01-19,Brazil,Residential,0.0
2024-01-20,Brazil,Domestic Aviation,0.0249422
2024-01-20,Brazil,Ground Transport,0.49638
2024-01-20,Brazil,Industry,0.477195
2024-01-20,Brazil,International Aviation,0.0214844
2024-01-20,Brazil,Power,0.0759951
2024-01-20,Brazil,Residential,0.0
2024-01-21,Brazil,Domestic Aviation,0.0243349
2024-01-21,Brazil,Ground Transport,0.374571
2024-01-21,Brazil,Industry,0.464874
2024-01-21,Brazil,International Aviation,0.0199822
2024-01-21,Brazil,Power,0.0740329
2024-01-21,Brazil,Residential,4.86104e-05
2024-01-22,Brazil,Domestic Aviation,0.026281
2024-01-22,Brazil,Ground Transport,0.601968
2024-01-22,Brazil,Industry,0.49504
2024-01-22,Brazil,International Aviation,0.0203077
2024-01-22,Brazil,Power,0.0788369
2024-01-22,Brazil,Residential,0.00210293
2024-01-23,Brazil,Domestic Aviation,0.0262331
2024-01-23,Brazil,Ground Transport,0.618061
2024-01-23,Brazil,Industry,0.497772
2024-01-23,Brazil,International Aviation,0.0213422
2024-01-23,Brazil,Power,0.0792721
2024-01-23,Brazil,Residential,0.0134757
2024-01-24,Brazil,Domestic Aviation,0.0259047
2024-01-24,Brazil,Ground Transport,0.624486
2024-01-24,Brazil,Industry,0.507928
2024-01-24,Brazil,International Aviation,0.0189151
2024-01-24,Brazil,Power,0.0808894
2024-01-24,Brazil,Residential,0.0189817
2024-01-25,Brazil,Domestic Aviation,0.0260429
2024-01-25,Brazil,Ground Transport,0.593449
2024-01-25,Brazil,Industry,0.355292
2024-01-25,Brazil,International Aviation,0.019093
2024-01-25,Brazil,Power,0.0565816
2024-01-25,Brazil,Residential,0.0239689
2024-01-26,Brazil,Domestic Aviation,0.0264724
2024-01-26,Brazil,Ground Transport,0.615224
2024-01-26,Brazil,Industry,0.323653
2024-01-26,Brazil,International Aviation,0.0205342
2024-01-26,Brazil,Power,0.051543
2024-01-26,Brazil,Residential,0.0254901
2024-01-27,Brazil,Domestic Aviation,0.025178
2024-01-27,Brazil,Ground Transport,0.508234
2024-01-27,Brazil,Industry,0.344905
2024-01-27,Brazil,International Aviation,0.0201702
2024-01-27,Brazil,Power,0.0549274
2024-01-27,Brazil,Residential,0.00877399
2024-01-28,Brazil,Domestic Aviation,0.0239545
2024-01-28,Brazil,Ground Transport,0.349769
2024-01-28,Brazil,Industry,0.336486
2024-01-28,Brazil,International Aviation,0.0208626
2024-01-28,Brazil,Power,0.0535867
2024-01-28,Brazil,Residential,0.00129992
2024-01-29,Brazil,Domestic Aviation,0.0263935
2024-01-29,Brazil,Ground Transport,0.601416
2024-01-29,Brazil,Industry,0.420462
2024-01-29,Brazil,International Aviation,0.0209396
2024-01-29,Brazil,Power,0.0669601
2024-01-29,Brazil,Residential,0.000152185
2024-01-30,Brazil,Domestic Aviation,0.0263634
2024-01-30,Brazil,Ground Transport,0.62056
2024-01-30,Brazil,Industry,0.452525
2024-01-30,Brazil,International Aviation,0.0208734
2024-01-30,Brazil,Power,0.0720663
2024-01-30,Brazil,Residential,9.9322e-06
2024-01-31,Brazil,Domestic Aviation,0.026134
2024-01-31,Brazil,Ground Transport,0.63285
2024-01-31,Brazil,Industry,0.478643
2024-01-31,Brazil,International Aviation,0.0191533
2024-01-31,Brazil,Power,0.0762257
2024-01-31,Brazil,Residential,0.0
2024-02-01,Brazil,Domestic Aviation,0.0260275
2024-02-01,Brazil,Ground Transport,0.630705
2024-02-01,Brazil,Industry,0.643941
2024-02-01,Brazil,International Aviation,0.0190428
2024-02-01,Brazil,Power,0.0815981
2024-02-01,Brazil,Residential,2.37979e-06
2024-02-02,Brazil,Domestic Aviation,0.0256393
2024-02-02,Brazil,Ground Transport,0.614677
2024-02-02,Brazil,Industry,0.638974
2024-02-02,Brazil,International Aviation,0.0198975
2024-02-02,Brazil,Power,0.0809688
2024-02-02,Brazil,Residential,1.77035e-05
2024-02-03,Brazil,Domestic Aviation,0.0245459
2024-02-03,Brazil,Ground Transport,0.532887
2024-02-03,Brazil,Industry,0.6014
2024-02-03,Brazil,International Aviation,0.0205219
2024-02-03,Brazil,Power,0.0762075
2024-02-03,Brazil,Residential,0.0
2024-02-04,Brazil,Domestic Aviation,0.0240326
2024-02-04,Brazil,Ground Transport,0.396881
2024-02-04,Brazil,Industry,0.612218
2024-02-04,Brazil,International Aviation,0.020262
2024-02-04,Brazil,Power,0.0775784
2024-02-04,Brazil,Residential,0.0
2024-02-05,Brazil,Domestic Aviation,0.0254567
2024-02-05,Brazil,Ground Transport,0.625042
2024-02-05,Brazil,Industry,0.582349
2024-02-05,Brazil,International Aviation,0.02045
2024-02-05,Brazil,Power,0.0737934
2024-02-05,Brazil,Residential,0.0
2024-02-06,Brazil,Domestic Aviation,0.0248936
2024-02-06,Brazil,Ground Transport,0.635164
2024-02-06,Brazil,Industry,0.623088
2024-02-06,Brazil,International Aviation,0.0204895
2024-02-06,Brazil,Power,0.0789558
2024-02-06,Brazil,Residential,0.0
2024-02-07,Brazil,Domestic Aviation,0.0254202
2024-02-07,Brazil,Ground Transport,0.636696
2024-02-07,Brazil,Industry,0.627848
2024-02-07,Brazil,International Aviation,0.0190371
2024-02-07,Brazil,Power,0.0795589
2024-02-07,Brazil,Residential,0.0
2024-02-08,Brazil,Domestic Aviation,0.0259195
2024-02-08,Brazil,Ground Transport,0.639911
2024-02-08,Brazil,Industry,0.654882
2024-02-08,Brazil,International Aviation,0.0193736
2024-02-08,Brazil,Power,0.0829846
2024-02-08,Brazil,Residential,0.0
2024-02-09,Brazil,Domestic Aviation,0.0272058
2024-02-09,Brazil,Ground Transport,0.630115
2024-02-09,Brazil,Industry,0.63475
2024-02-09,Brazil,International Aviation,0.0205549
2024-02-09,Brazil,Power,0.0804336
2024-02-09,Brazil,Residential,0.0
2024-02-10,Brazil,Domestic Aviation,0.0255557
2024-02-10,Brazil,Ground Transport,0.555767
2024-02-10,Brazil,Industry,0.46767
2024-02-10,Brazil,International Aviation,0.021376
2024-02-10,Brazil,Power,0.0592616
2024-02-10,Brazil,Residential,0.0
2024-02-11,Brazil,Domestic Aviation,0.0191124
2024-02-11,Brazil,Ground Transport,0.369604
2024-02-11,Brazil,Industry,0.432823
2024-02-11,Brazil,International Aviation,0.0202079
2024-02-11,Brazil,Power,0.054846
2024-02-11,Brazil,Residential,0.0
2024-02-12,Brazil,Domestic Aviation,0.0175093
2024-02-12,Brazil,Ground Transport,0.418753
2024-02-12,Brazil,Industry,0.440985
2024-02-12,Brazil,International Aviation,0.0201957
2024-02-12,Brazil,Power,0.0558802
2024-02-12,Brazil,Residential,0.0
2024-02-13,Brazil,Domestic Aviation,0.0197545
2024-02-13,Brazil,Ground Transport,0.336918
2024-02-13,Brazil,Industry,0.488022
2024-02-13,Brazil,International Aviation,0.0207023
2024-02-13,Brazil,Power,0.0618406
2024-02-13,Brazil,Residential,0.0
2024-02-14,Brazil,Domestic Aviation,0.0240701
2024-02-14,Brazil,Ground Transport,0.489787
2024-02-14,Brazil,Industry,0.469875
2024-02-14,Brazil,International Aviation,0.0192191
2024-02-14,Brazil,Power,0.0595411
2024-02-14,Brazil,Residential,0.000665005
2024-02-15,Brazil,Domestic Aviation,0.0241208
2024-02-15,Brazil,Ground Transport,0.620964
2024-02-15,Brazil,Industry,0.46837
2024-02-15,Brazil,International Aviation,0.0194522
2024-02-15,Brazil,Power,0.0593504
2024-02-15,Brazil,Residential,0.00532533
2024-02-16,Brazil,Domestic Aviation,0.0249064
2024-02-16,Brazil,Ground Transport,0.618246
2024-02-16,Brazil,Industry,0.466839
2024-02-16,Brazil,International Aviation,0.0202691
2024-02-16,Brazil,Power,0.0591564
2024-02-16,Brazil,Residential,0.00147939
2024-02-17,Brazil,Domestic Aviation,0.0238468
2024-02-17,Brazil,Ground Transport,0.516689
2024-02-17,Brazil,Industry,0.452841
2024-02-17,Brazil,International Aviation,0.0199901
2024-02-17,Brazil,Power,0.0573826
2024-02-17,Brazil,Residential,8.22356e-05
2024-02-18,Brazil,Domestic Aviation,0.0230077
2024-02-18,Brazil,Ground Transport,0.368468
2024-02-18,Brazil,Industry,0.400306
2024-02-18,Brazil,International Aviation,0.0201376
2024-02-18,Brazil,Power,0.0507255
2024-02-18,Brazil,Residential,0.0
2024-02-19,Brazil,Domestic Aviation,0.0246566
2024-02-19,Brazil,Ground Transport,0.630803
2024-02-19,Brazil,Industry,0.370855
2024-02-19,Brazil,International Aviation,0.0198774
2024-02-19,Brazil,Power,0.0469936
2024-02-19,Brazil,Residential,0.0
2024-02-20,Brazil,Domestic Aviation,0.0244683
2024-02-20,Brazil,Ground Transport,0.645815
2024-02-20,Brazil,Industry,0.366657
2024-02-20,Brazil,International Aviation,0.0202352
2024-02-20,Brazil,Power,0.0464617
2024-02-20,Brazil,Residential,6.24588e-05
2024-02-21,Brazil,Domestic Aviation,0.0236259
2024-02-21,Brazil,Ground Transport,0.644128
2024-02-21,Brazil,Industry,0.448655
2024-02-21,Brazil,International Aviation,0.0184942
2024-02-21,Brazil,Power,0.0568521
2024-02-21,Brazil,Residential,3.6091e-06
2024-02-22,Brazil,Domestic Aviation,0.0242556
2024-02-22,Brazil,Ground Transport,0.639483
2024-02-22,Brazil,Industry,0.488905
2024-02-22,Brazil,International Aviation,0.0185413
2024-02-22,Brazil,Power,0.0619525
2024-02-22,Brazil,Residential,2.17056e-06
2024-02-23,Brazil,Domestic Aviation,0.0247494
2024-02-23,Brazil,Ground Transport,0.64568
2024-02-23,Brazil,Industry,0.463359
2024-02-23,Brazil,International Aviation,0.0202628
2024-02-23,Brazil,Power,0.0587154
2024-02-23,Brazil,Residential,0.0
2024-02-24,Brazil,Domestic Aviation,0.0223014
2024-02-24,Brazil,Ground Transport,0.5365
2024-02-24,Brazil,Industry,0.437755
2024-02-24,Brazil,International Aviation,0.020145
2024-02-24,Brazil,Power,0.0554709
2024-02-24,Brazil,Residential,0.0
2024-02-25,Brazil,Domestic Aviation,0.0212517
2024-02-25,Brazil,Ground Transport,0.37614
2024-02-25,Brazil,Industry,0.439191
2024-02-25,Brazil,International Aviation,0.0197667
2024-02-25,Brazil,Power,0.055653
2024-02-25,Brazil,Residential,0.0
2024-02-26,Brazil,Domestic Aviation,0.0237029
2024-02-26,Brazil,Ground Transport,0.630114
2024-02-26,Brazil,Industry,0.439472
2024-02-26,Brazil,International Aviation,0.0197734
2024-02-26,Brazil,Power,0.0556885
2024-02-26,Brazil,Residential,0.0
2024-02-27,Brazil,Domestic Aviation,0.0236873
2024-02-27,Brazil,Ground Transport,0.638346
2024-02-27,Brazil,Industry,0.423421
2024-02-27,Brazil,International Aviation,0.0198806
2024-02-27,Brazil,Power,0.0536546
2024-02-27,Brazil,Residential,0.0
2024-02-28,Brazil,Domestic Aviation,0.0235832
2024-02-28,Brazil,Ground Transport,0.640003
2024-02-28,Brazil,Industry,0.415067
2024-02-28,Brazil,International Aviation,0.0176621
2024-02-28,Brazil,Power,0.052596
2024-02-28,Brazil,Residential,0.0
2024-03-01,Brazil,Domestic Aviation,0.0246967
2024-03-01,Brazil,Ground Transport,0.642226
2024-03-01,Brazil,Industry,0.510592
2024-03-01,Brazil,International Aviation,0.0203756
2024-03-01,Brazil,Power,0.0540454
2024-03-01,Brazil,Residential,0.0
2024-03-02,Brazil,Domestic Aviation,0.0228721
2024-03-02,Brazil,Ground Transport,0.546784
2024-03-02,Brazil,Industry,0.538419
2024-03-02,Brazil,International Aviation,0.0191176
2024-03-02,Brazil,Power,0.0569909
2024-03-02,Brazil,Residential,0.0
2024-03-03,Brazil,Domestic Aviation,0.0213334
2024-03-03,Brazil,Ground Transport,0.388301
2024-03-03,Brazil,Industry,0.525292
2024-03-03,Brazil,International Aviation,0.0190923
2024-03-03,Brazil,Power,0.0556014
2024-03-03,Brazil,Residential,0.0
2024-03-04,Brazil,Domestic Aviation,0.023937
2024-03-04,Brazil,Ground Transport,0.636495
2024-03-04,Brazil,Industry,0.531951
2024-03-04,Brazil,International Aviation,0.0193212
2024-03-04,Brazil,Power,0.0563063
2024-03-04,Brazil,Residential,3.22122e-05
2024-03-05,Brazil,Domestic Aviation,0.0232342
2024-03-05,Brazil,Ground Transport,0.646896
2024-03-05,Brazil,Industry,0.504577
2024-03-05,Brazil,International Aviation,0.0194522
2024-03-05,Brazil,Power,0.0534088
2024-03-05,Brazil,Residential,0.00173067
2024-03-06,Brazil,Domestic Aviation,0.0240187
2024-03-06,Brazil,Ground Transport,0.639731
2024-03-06,Brazil,Industry,0.511307
2024-03-06,Brazil,International Aviation,0.0182735
2024-03-06,Brazil,Power,0.0541211
2024-03-06,Brazil,Residential,0.00174118
2024-03-07,Brazil,Domestic Aviation,0.023825
2024-03-07,Brazil,Ground Transport,0.646387
2024-03-07,Brazil,Industry,0.521353
2024-03-07,Brazil,International Aviation,0.0187102
2024-03-07,Brazil,Power,0.0551845
2024-03-07,Brazil,Residential,4.67945e-05
2024-03-08,Brazil,Domestic Aviation,0.0244869
2024-03-08,Brazil,Ground Transport,0.650886
2024-03-08,Brazil,Industry,0.513826
2024-03-08,Brazil,International Aviation,0.0191259
2024-03-08,Brazil,Power,0.0543878
2024-03-08,Brazil,Residential,2.86269e-05
2024-03-09,Brazil,Domestic Aviation,0.0229117
2024-03-09,Brazil,Ground Transport,0.558696
2024-03-09,Brazil,Industry,0.487021
2024-03-09,Brazil,International Aviation,0.0190751
2024-03-09,Brazil,Power,0.0515505
2024-03-09,Brazil,Residential,0.0
2024-03-10,Brazil,Domestic Aviation,0.0214216
2024-03-10,Brazil,Ground Transport,0.394057
2024-03-10,Brazil,Industry,0.472469
2024-03-10,Brazil,International Aviation,0.019317
2024-03-10,Brazil,Power,0.0500102
2024-03-10,Brazil,Residential,0.0
2024-03-11,Brazil,Domestic Aviation,0.0240757
2024-03-11,Brazil,Ground Transport,0.631123
2024-03-11,Brazil,Industry,0.483518
2024-03-11,Brazil,International Aviation,0.0194458
2024-03-11,Brazil,Power,0.0511797
2024-03-11,Brazil,Residential,0.0
2024-03-12,Brazil,Domestic Aviation,0.0236968
2024-03-12,Brazil,Ground Transport,0.639256
2024-03-12,Brazil,Industry,0.444419
2024-03-12,Brazil,International Aviation,0.0190823
2024-03-12,Brazil,Power,0.0470411
2024-03-12,Brazil,Residential,0.0
2024-03-13,Brazil,Domestic Aviation,0.0234619
2024-03-13,Brazil,Ground Transport,0.641269
2024-03-13,Brazil,Industry,0.414958
2024-03-13,Brazil,International Aviation,0.0185197
2024-03-13,Brazil,Power,0.0439228
2024-03-13,Brazil,Residential,5.20335e-05
2024-03-14,Brazil,Domestic Aviation,0.0238593
2024-03-14,Brazil,Ground Transport,0.645713
2024-03-14,Brazil,Industry,0.408864
2024-03-14,Brazil,International Aviation,0.0180636
2024-03-14,Brazil,Power,0.0432777
2024-03-14,Brazil,Residential,0.0
2024-03-15,Brazil,Domestic Aviation,0.0241213
2024-03-15,Brazil,Ground Transport,0.644677
2024-03-15,Brazil,Industry,0.40141
2024-03-15,Brazil,International Aviation,0.0198263
2024-03-15,Brazil,Power,0.0424887
2024-03-15,Brazil,Residential,0.0
2024-03-16,Brazil,Domestic Aviation,0.0229732
2024-03-16,Brazil,Ground Transport,0.549915
2024-03-16,Brazil,Industry,0.353224
2024-03-16,Brazil,International Aviation,0.0194446
2024-03-16,Brazil,Power,0.0373883
2024-03-16,Brazil,Residential,0.0
2024-03-17,Brazil,Domestic Aviation,0.0214585
2024-03-17,Brazil,Ground Transport,0.398821
2024-03-17,Brazil,Industry,0.35053
2024-03-17,Brazil,International Aviation,0.0192715
2024-03-17,Brazil,Power,0.0371031
2024-03-17,Brazil,Residential,0.0
2024-03-18,Brazil,Domestic Aviation,0.0244545
2024-03-18,Brazil,Ground Transport,0.634496
2024-03-18,Brazil,Industry,0.518004
2024-03-18,Brazil,International Aviation,0.0194949
2024-03-18,Brazil,Power,0.0548299
2024-03-18,Brazil,Residential,0.0
2024-03-19,Brazil,Domestic Aviation,0.0236408
2024-03-19,Brazil,Ground Transport,0.636214
2024-03-19,Brazil,Industry,0.729941
2024-03-19,Brazil,International Aviation,0.0194056
2024-03-19,Brazil,Power,0.0772633
2024-03-19,Brazil,Residential,0.0
2024-03-20,Brazil,Domestic Aviation,0.0239776
2024-03-20,Brazil,Ground Transport,0.645729
2024-03-20,Brazil,Industry,0.682906
2024-03-20,Brazil,International Aviation,0.0188741
2024-03-20,Brazil,Power,0.0722846
2024-03-20,Brazil,Residential,0.0
2024-03-21,Brazil,Domestic Aviation,0.0235358
2024-03-21,Brazil,Ground Transport,0.644485
2024-03-21,Brazil,Industry,0.58324
2024-03-21,Brazil,International Aviation,0.0181624
2024-03-21,Brazil,Power,0.0617351
2024-03-21,Brazil,Residential,0.0
2024-03-22,Brazil,Domestic Aviation,0.0243063
2024-03-22,Brazil,Ground Transport,0.640905
2024-03-22,Brazil,Industry,0.395165
2024-03-22,Brazil,International Aviation,0.0199377
2024-03-22,Brazil,Power,0.0418276
2024-03-22,Brazil,Residential,0.0117298
2024-03-23,Brazil,Domestic Aviation,0.0225602
2024-03-23,Brazil,Ground Transport,0.557424
2024-03-23,Brazil,Industry,0.399621
2024-03-23,Brazil,International Aviation,0.0196593
2024-03-23,Brazil,Power,0.0422993
2024-03-23,Brazil,Residential,0.0285977
2024-03-24,Brazil,Domestic Aviation,0.0208083
2024-03-24,Brazil,Ground Transport,0.374176
2024-03-24,Brazil,Industry,0.468331
2024-03-24,Brazil,International Aviation,0.0202096
2024-03-24,Brazil,Power,0.0495722
2024-03-24,Brazil,Residential,0.00514156
2024-03-25,Brazil,Domestic Aviation,0.0240054
2024-03-25,Brazil,Ground Transport,0.630331
2024-03-25,Brazil,Industry,0.461157
2024-03-25,Brazil,International Aviation,0.0194188
2024-03-25,Brazil,Power,0.0488128
2024-03-25,Brazil,Residential,5.32675e-05
2024-03-26,Brazil,Domestic Aviation,0.0236499
2024-03-26,Brazil,Ground Transport,0.644979
2024-03-26,Brazil,Industry,0.477614
2024-03-26,Brazil,International Aviation,0.0196433
2024-03-26,Brazil,Power,0.0505548
2024-03-26,Brazil,Residential,0.00137724
2024-03-27,Brazil,Domestic Aviation,0.0233124
2024-03-27,Brazil,Ground Transport,0.648844
2024-03-27,Brazil,Industry,0.482585
2024-03-27,Brazil,International Aviation,0.018644
2024-03-27,Brazil,Power,0.0510809
2024-03-27,Brazil,Residential,0.00058287
2024-03-28,Brazil,Domestic Aviation,0.0235668
2024-03-28,Brazil,Ground Transport,0.641939
2024-03-28,Brazil,Industry,0.443489
2024-03-28,Brazil,International Aviation,0.0187154
2024-03-28,Brazil,Power,0.0469427
2024-03-28,Brazil,Residential,0.000143129
2024-03-29,Brazil,Domestic Aviation,0.021992
2024-03-29,Brazil,Ground Transport,0.339155
2024-03-29,Brazil,Industry,0.474509
2024-03-29,Brazil,International Aviation,0.0201424
2024-03-29,Brazil,Power,0.0502261
2024-03-29,Brazil,Residential,2.4184e-06
2024-03-30,Brazil,Domestic Aviation,0.0175144
2024-03-30,Brazil,Ground Transport,0.410571
2024-03-30,Brazil,Industry,0.468526
2024-03-30,Brazil,International Aviation,0.0191719
2024-03-30,Brazil,Power,0.0495928
2024-03-30,Brazil,Residential,2.75036e-05
2024-03-31,Brazil,Domestic Aviation,0.0209936
2024-03-31,Brazil,Ground Transport,0.328197
2024-03-31,Brazil,Industry,0.462563
2024-03-31,Brazil,International Aviation,0.0188981
2024-03-31,Brazil,Power,0.0489616
2024-03-31,Brazil,Residential,0.0
2024-04-01,Brazil,Domestic Aviation,0.0243903
2024-04-01,Brazil,Ground Transport,0.625566
2024-04-01,Brazil,Industry,0.655928
2024-04-01,Brazil,International Aviation,0.0183413
2024-04-01,Brazil,Power,0.0470041
2024-04-01,Brazil,Residential,0.000105992
2024-04-02,Brazil,Domestic Aviation,0.0240809
2024-04-02,Brazil,Ground Transport,0.642218
2024-04-02,Brazil,Industry,0.729818
2024-04-02,Brazil,International Aviation,0.0188704
2024-04-02,Brazil,Power,0.0522991
2024-04-02,Brazil,Residential,0.000258623
2024-04-03,Brazil,Domestic Aviation,0.0244013
2024-04-03,Brazil,Ground Transport,0.641134
2024-04-03,Brazil,Industry,0.549704
2024-04-03,Brazil,International Aviation,0.0182013
2024-04-03,Brazil,Power,0.039392
2024-04-03,Brazil,Residential,0.000105515
2024-04-04,Brazil,Domestic Aviation,0.0245054
2024-04-04,Brazil,Ground Transport,0.644949
2024-04-04,Brazil,Industry,0.680651
2024-04-04,Brazil,International Aviation,0.0181459
2024-04-04,Brazil,Power,0.0487758
2024-04-04,Brazil,Residential,0.0
2024-04-05,Brazil,Domestic Aviation,0.0252331
2024-04-05,Brazil,Ground Transport,0.648126
2024-04-05,Brazil,Industry,0.614929
2024-04-05,Brazil,International Aviation,0.0185326
2024-04-05,Brazil,Power,0.0440661
2024-04-05,Brazil,Residential,0.0
2024-04-06,Brazil,Domestic Aviation,0.0227167
2024-04-06,Brazil,Ground Transport,0.566551
2024-04-06,Brazil,Industry,0.592401
2024-04-06,Brazil,International Aviation,0.0188911
2024-04-06,Brazil,Power,0.0424517
2024-04-06,Brazil,Residential,0.00370203
2024-04-07,Brazil,Domestic Aviation,0.0218501
2024-04-07,Brazil,Ground Transport,0.40648
2024-04-07,Brazil,Industry,0.588891
2024-04-07,Brazil,International Aviation,0.0193873
2024-04-07,Brazil,Power,0.0422002
2024-04-07,Brazil,Residential,0.00616082
2024-04-08,Brazil,Domestic Aviation,0.0240536
2024-04-08,Brazil,Ground Transport,0.633362
2024-04-08,Brazil,Industry,0.511473
2024-04-08,Brazil,International Aviation,0.0194905
2024-04-08,Brazil,Power,0.0366524
2024-04-08,Brazil,Residential,0.0002184
2024-04-09,Brazil,Domestic Aviation,0.023971
2024-04-09,Brazil,Ground Transport,0.639977
2024-04-09,Brazil,Industry,0.519877
2024-04-09,Brazil,International Aviation,0.0185849
2024-04-09,Brazil,Power,0.0372546
2024-04-09,Brazil,Residential,0.0
2024-04-10,Brazil,Domestic Aviation,0.0244812
2024-04-10,Brazil,Ground Transport,0.64322
2024-04-10,Brazil,Industry,0.677122
2024-04-10,Brazil,International Aviation,0.0182441
2024-04-10,Brazil,Power,0.0485229
2024-04-10,Brazil,Residential,0.0
2024-04-11,Brazil,Domestic Aviation,0.0243496
2024-04-11,Brazil,Ground Transport,0.642202
2024-04-11,Brazil,Industry,0.5362
2024-04-11,Brazil,International Aviation,0.0180403
2024-04-11,Brazil,Power,0.0384243
2024-04-11,Brazil,Residential,0.00216069
